Host,Solution,Risk,Port,Name,Plugin Output,Category
10.204.224.20,Purchase or generate a proper SSL certificate for this service.,Medium,3389,ssl certificate cannot be trusted,"
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : CN=PAY01936A.ibomgolfresort.com
|-Issuer  : CN=PAY01936A.ibomgolfresort.com
",ssl related vulnerability
10.204.224.20,"Enable support for TLS 1.2 and 1.3, and disable support for TLS 1.0.",Medium,443,tls version 1.0 protocol detection,TLSv1 is enabled and the server supports at least one cipher.,ssl related vulnerability
10.204.224.20,Purchase or generate a proper SSL certificate for this service.,Medium,443,ssl certificate cannot be trusted,"
The following certificates were part of the certificate chain
sent by the remote host, but they have expired :

|-Subject   : C=ZA/ST=Western Cape/L=Cape Town/O=Thawte Consulting cc/OU=Certification Services Division/CN=Thawte Premium Server CA/E=premium-server@thawte.com
|-Not After : Dec 31 23:59:59 2020 GMT

|-Subject   : C=NG/ST=Lagos/L=Lagos/O=SystemSpecs Limited/OU=Systems Support/CN=www.humanmanager.org
|-Not After : Jun 30 11:40:18 2006 GMT
",ssl related vulnerability
10.204.224.20,Purchase or generate a proper SSL certificate for this service.,Medium,1433,ssl certificate cannot be trusted,"
The following certificate was part of the certificate chain
sent by the remote host, but it has expired :

|-Subject   : CN=SSL_Self_Signed_Fallback
|-Not After : Jan 03 23:07:02 2010 GMT

The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : CN=SSL_Self_Signed_Fallback
|-Issuer  : CN=SSL_Self_Signed_Fallback
",ssl related vulnerability
10.204.224.20,"Enable support for TLS 1.2 and 1.3, and disable support for TLS 1.0.",Medium,1433,tls version 1.0 protocol detection,TLSv1 is enabled and the server supports at least one cipher.,ssl related vulnerability
10.204.224.20,Purchase or generate a proper SSL certificate for this service.,Medium,1433,ssl self-signed certificate,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : CN=SSL_Self_Signed_Fallback
",ssl related vulnerability
10.204.224.20,"Replace the certificate in the chain with the RSA key less than 2048
bits in length with a longer key, and reissue any certificates signed
by the old certificate.",Low,443,ssl certificate chain contains rsa keys less than 2048 bits,"
The following certificates were part of the certificate chain
sent by the remote host, but contain RSA keys that are considered
to be weak :

|-Subject        : C=NG/ST=Lagos/L=Lagos/O=SystemSpecs Limited/OU=Systems Support/CN=www.humanmanager.org
|-RSA Key Length : 1024 bits
",ssl related vulnerability
10.204.224.20,Contact the Certificate Authority to have the SSL certificate reissued.,Medium,443,ssl certificate signed using weak hashing algorithm,"
The following certificates were part of the certificate chain sent by
the remote host, but contain hashes that are considered to be weak.

|-Subject             : C=NG/ST=Lagos/L=Lagos/O=SystemSpecs Limited/OU=Systems Support/CN=www.humanmanager.org
|-Signature Algorithm : MD5 With RSA Encryption
|-Valid From          : Aug 05 16:10:56 2005 GMT
|-Valid To            : Jun 30 11:40:18 2006 GMT
",ssl related vulnerability
10.204.224.20,"Purchase or generate a new SSL certificate to replace the existing
one.",Medium,1433,ssl certificate expiry,"
The SSL certificate has already expired :

  Subject          : CN=SSL_Self_Signed_Fallback
  Issuer           : CN=SSL_Self_Signed_Fallback
  Not valid before : Jan  3 23:07:02 1980 GMT
  Not valid after  : Jan  3 23:07:02 2010 GMT
",ssl related vulnerability
10.204.224.20,"Enable support for TLS 1.2 and 1.3, and disable support for TLS 1.0.",Medium,3389,tls version 1.0 protocol detection,TLSv1 is enabled and the server supports at least one cipher.,ssl related vulnerability
10.204.224.22,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.",Medium,1433,ssl medium strength cipher suites supported (sweet32),"
  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                  0x00, 0x0A       RSA           RSA      3DES-CBC(168)          SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability
10.204.224.22,Purchase or generate a proper SSL certificate for this service.,Medium,8100,ssl self-signed certificate,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : C=CN/O=SAP/OU=B1/CN=Administrator
",ssl related vulnerability
10.204.224.22,Purchase or generate a proper SSL certificate for this service.,Medium,1433,ssl self-signed certificate,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : CN=SSL_Self_Signed_Fallback
",ssl related vulnerability
10.204.224.22,"Reconfigure the affected application, if possible, to avoid use of RC4
ciphers. Consider using TLS 1.2 with AES-GCM suites subject to browser
and web server support.",Medium,1433,ssl rc4 cipher suites supported (bar mitzvah),"
List of RC4 cipher suites supported by the remote server :

  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    RC4-MD5                       0x00, 0x04       RSA           RSA      RC4(128)               MD5
    RC4-SHA                       0x00, 0x05       RSA           RSA      RC4(128)               SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability
10.204.224.22,Purchase or generate a proper SSL certificate for this service.,Medium,8100,ssl certificate with wrong hostname,"
The identities known by Nessus are :

  10.204.224.22
  sap01936a.ibomgolfresort.com
  SAP01936A

The Common Name in the certificate is :

  Administrator
",ssl related vulnerability
10.204.224.22,"Enable support for TLS 1.2 and 1.3, and disable support for TLS 1.0.",Medium,1433,tls version 1.0 protocol detection,TLSv1 is enabled and the server supports at least one cipher.,ssl related vulnerability
10.204.224.22,"Enable support for TLS 1.2 and 1.3, and disable support for TLS 1.0.",Medium,3389,tls version 1.0 protocol detection,TLSv1 is enabled and the server supports at least one cipher.,ssl related vulnerability
10.204.224.22,Purchase or generate a proper SSL certificate for this service.,Medium,1433,ssl certificate with wrong hostname,"
The identities known by Nessus are :

  10.204.224.22
  sap01936a.ibomgolfresort.com
  SAP01936A

The Common Name in the certificate is :

  SSL_Self_Signed_Fallback
",ssl related vulnerability
10.204.224.22,"Reconfigure the affected application, if possible, to avoid use of RC4
ciphers. Consider using TLS 1.2 with AES-GCM suites subject to browser
and web server support.",Medium,3389,ssl rc4 cipher suites supported (bar mitzvah),"
List of RC4 cipher suites supported by the remote server :

  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    RC4-MD5                       0x00, 0x04       RSA           RSA      RC4(128)               MD5
    RC4-SHA                       0x00, 0x05       RSA           RSA      RC4(128)               SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability
10.204.224.22,Purchase or generate a proper SSL certificate for this service.,Medium,8100,ssl certificate cannot be trusted,"
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : C=CN/O=SAP/OU=B1/CN=Administrator
|-Issuer  : C=CN/O=SAP/OU=B1/CN=Administrator
",ssl related vulnerability
10.204.224.22,Purchase or generate a proper SSL certificate for this service.,Medium,3389,ssl certificate cannot be trusted,"
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : CN=SAP01936A.ibomgolfresort.com
|-Issuer  : CN=SAP01936A.ibomgolfresort.com
",ssl related vulnerability
10.204.224.22,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.",Medium,3389,ssl medium strength cipher suites supported (sweet32),"
  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                  0x00, 0x0A       RSA           RSA      3DES-CBC(168)          SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability
10.204.224.22,Purchase or generate a proper SSL certificate for this service.,Medium,2381,ssl certificate cannot be trusted,"
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : C=US/ST=Texas/L=Houston/O=Hewlett Packard Enterprise/OU=Hewlett Packard Enterprise Network Management Software (SMH)/CN=SAP01936A.ibomgolfresort.com
|-Issuer  : C=US/ST=Texas/L=Houston/O=Hewlett Packard Enterprise/OU=Hewlett Packard Enterprise Network Management Software (SMH)/CN=SAP01936A.ibomgolfresort.com
",ssl related vulnerability
10.204.224.22,Purchase or generate a proper SSL certificate for this service.,Medium,1433,ssl certificate cannot be trusted,"
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : CN=SSL_Self_Signed_Fallback
|-Issuer  : CN=SSL_Self_Signed_Fallback
",ssl related vulnerability
10.204.224.22,Purchase or generate a proper SSL certificate for this service.,Medium,3389,ssl self-signed certificate,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : CN=SAP01936A.ibomgolfresort.com
",ssl related vulnerability
10.204.224.22,"Replace the certificate in the chain with the RSA key less than 2048
bits in length with a longer key, and reissue any certificates signed
by the old certificate.",Low,1433,ssl certificate chain contains rsa keys less than 2048 bits,"
The following certificates were part of the certificate chain
sent by the remote host, but contain RSA keys that are considered
to be weak :

|-Subject        : CN=SSL_Self_Signed_Fallback
|-RSA Key Length : 1024 bits
",ssl related vulnerability
10.204.224.22,Purchase or generate a proper SSL certificate for this service.,Medium,2381,ssl self-signed certificate,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : C=US/ST=Texas/L=Houston/O=Hewlett Packard Enterprise/OU=Hewlett Packard Enterprise Network Management Software (SMH)/CN=SAP01936A.ibomgolfresort.com
",ssl related vulnerability
10.204.224.22,Contact the Certificate Authority to have the SSL certificate reissued.,Medium,3389,ssl certificate signed using weak hashing algorithm,"
The following certificates were part of the certificate chain sent by
the remote host, but contain hashes that are considered to be weak.

|-Subject             : CN=SAP01936A.ibomgolfresort.com
|-Signature Algorithm : SHA-1 With RSA Encryption
|-Valid From          : Jul 03 20:12:51 2021 GMT
|-Valid To            : Jan 02 20:12:51 2022 GMT
",ssl related vulnerability
10.204.224.22,Contact the Certificate Authority to have the SSL certificate reissued.,Medium,1433,ssl certificate signed using weak hashing algorithm,"
The following certificates were part of the certificate chain sent by
the remote host, but contain hashes that are considered to be weak.

|-Subject             : CN=SSL_Self_Signed_Fallback
|-Signature Algorithm : SHA-1 With RSA Encryption
|-Valid From          : Aug 04 15:19:32 2021 GMT
|-Valid To            : Aug 04 15:19:32 2051 GMT
",ssl related vulnerability
10.204.224.22,"Disable SSLv3.

Services that must support SSLv3 should enable the TLS Fallback SCSV
mechanism until SSLv3 can be disabled.",Medium,1433,sslv3 padding oracle on downgraded legacy encryption vulnerability (poodle),"
Nessus determined that the remote server supports SSLv3 with at least one CBC 
cipher suite, indicating that this server is vulnerable.

It appears that TLSv1 or newer is supported on the server. However, the 
Fallback SCSV mechanism is not supported, allowing connections to be ""rolled 
back"" to SSLv3.
",ssl related vulnerability
10.204.224.22,"Consult the application's documentation to disable SSL 2.0 and 3.0.
Use TLS 1.2 (with approved cipher suites) or higher instead.",High,1433,ssl version 2 and 3 protocol detection,"
- SSLv3 is enabled and the server supports at least one cipher.
	Explanation: TLS 1.0 and SSL 3.0 cipher suites may be used with SSLv3


  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                                   RSA           RSA      3DES-CBC(168)          SHA1

  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    ECDHE-RSA-AES128-SHA                           ECDH          RSA      AES-CBC(128)           SHA1
    ECDHE-RSA-AES256-SHA                           ECDH          RSA      AES-CBC(256)           SHA1
    AES128-SHA                                     RSA           RSA      AES-CBC(128)           SHA1
    AES256-SHA                                     RSA           RSA      AES-CBC(256)           SHA1
    RC4-MD5                                        RSA           RSA      RC4(128)               MD5
    RC4-SHA                                        RSA           RSA      RC4(128)               SHA1
    ECDHE-RSA-AES128-SHA256                        ECDH          RSA      AES-CBC(128)           SHA256
    RSA-AES128-SHA256                              RSA           RSA      AES-CBC(128)           SHA256
    RSA-AES256-SHA256                              RSA           RSA      AES-CBC(256)           SHA256

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability
10.204.224.23,"Reconfigure the affected application, if possible, to avoid use of RC4
ciphers. Consider using TLS 1.2 with AES-GCM suites subject to browser
and web server support.",Medium,3389,ssl rc4 cipher suites supported (bar mitzvah),"
List of RC4 cipher suites supported by the remote server :

  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    RC4-MD5                       0x00, 0x04       RSA           RSA      RC4(128)               MD5
    RC4-SHA                       0x00, 0x05       RSA           RSA      RC4(128)               SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability
10.204.224.23,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.",Medium,3389,ssl medium strength cipher suites supported (sweet32),"
  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                  0x00, 0x0A       RSA           RSA      3DES-CBC(168)          SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability
10.204.224.23,Purchase or generate a proper SSL certificate for this service.,Medium,3389,ssl self-signed certificate,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : CN=POS01936A.ibomgolfresort.com
",ssl related vulnerability
10.204.224.23,"Enable support for TLS 1.2 and 1.3, and disable support for TLS 1.0.",Medium,3389,tls version 1.0 protocol detection,TLSv1 is enabled and the server supports at least one cipher.,ssl related vulnerability
10.204.224.23,Purchase or generate a proper SSL certificate for this service.,Medium,3389,ssl certificate cannot be trusted,"
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : CN=POS01936A.ibomgolfresort.com
|-Issuer  : CN=POS01936A.ibomgolfresort.com
",ssl related vulnerability
10.204.224.23,Contact the Certificate Authority to have the SSL certificate reissued.,Medium,3389,ssl certificate signed using weak hashing algorithm,"
The following certificates were part of the certificate chain sent by
the remote host, but contain hashes that are considered to be weak.

|-Subject             : CN=POS01936A.ibomgolfresort.com
|-Signature Algorithm : SHA-1 With RSA Encryption
|-Valid From          : May 08 21:25:58 2021 GMT
|-Valid To            : Nov 07 21:25:58 2021 GMT
",ssl related vulnerability
10.204.224.24,Purchase or generate a proper SSL certificate for this service.,Medium,3389,ssl certificate cannot be trusted,"
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : CN=CAPS01936A.ibomgolfresort.com
|-Issuer  : CN=CAPS01936A.ibomgolfresort.com
",ssl related vulnerability
10.204.224.24,Purchase or generate a proper SSL certificate for this service.,Medium,49177,ssl certificate cannot be trusted,"
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : CN=SSL_Self_Signed_Fallback
|-Issuer  : CN=SSL_Self_Signed_Fallback
",ssl related vulnerability
10.204.224.24,"Reconfigure the affected application, if possible, to avoid use of RC4
ciphers. Consider using TLS 1.2 with AES-GCM suites subject to browser
and web server support.",Medium,49177,ssl rc4 cipher suites supported (bar mitzvah),"
List of RC4 cipher suites supported by the remote server :

  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    RC4-MD5                       0x00, 0x04       RSA           RSA      RC4(128)               MD5
    RC4-SHA                       0x00, 0x05       RSA           RSA      RC4(128)               SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability
10.204.224.24,"Enable support for TLS 1.2 and 1.3, and disable support for TLS 1.0.",Medium,3389,tls version 1.0 protocol detection,TLSv1 is enabled and the server supports at least one cipher.,ssl related vulnerability
10.204.224.24,"Enable support for TLS 1.2 and 1.3, and disable support for TLS 1.0.",Medium,49177,tls version 1.0 protocol detection,TLSv1 is enabled and the server supports at least one cipher.,ssl related vulnerability
10.204.224.24,"Reconfigure the affected application, if possible, to avoid use of RC4
ciphers. Consider using TLS 1.2 with AES-GCM suites subject to browser
and web server support.",Medium,3389,ssl rc4 cipher suites supported (bar mitzvah),"
List of RC4 cipher suites supported by the remote server :

  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    RC4-MD5                       0x00, 0x04       RSA           RSA      RC4(128)               MD5
    RC4-SHA                       0x00, 0x05       RSA           RSA      RC4(128)               SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability
10.204.224.24,"Replace the certificate in the chain with the RSA key less than 2048
bits in length with a longer key, and reissue any certificates signed
by the old certificate.",Low,49177,ssl certificate chain contains rsa keys less than 2048 bits,"
The following certificates were part of the certificate chain
sent by the remote host, but contain RSA keys that are considered
to be weak :

|-Subject        : CN=SSL_Self_Signed_Fallback
|-RSA Key Length : 1024 bits
",ssl related vulnerability
10.204.224.24,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.",Medium,3389,ssl medium strength cipher suites supported (sweet32),"
  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                  0x00, 0x0A       RSA           RSA      3DES-CBC(168)          SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability
10.204.224.24,"Disable SSLv3.

Services that must support SSLv3 should enable the TLS Fallback SCSV
mechanism until SSLv3 can be disabled.",Medium,49177,sslv3 padding oracle on downgraded legacy encryption vulnerability (poodle),"
Nessus determined that the remote server supports SSLv3 with at least one CBC 
cipher suite, indicating that this server is vulnerable.

It appears that TLSv1 or newer is supported on the server. However, the 
Fallback SCSV mechanism is not supported, allowing connections to be ""rolled 
back"" to SSLv3.
",ssl related vulnerability
10.204.224.24,Purchase or generate a proper SSL certificate for this service.,Medium,49177,ssl certificate with wrong hostname,"
The identities known by Nessus are :

  10.204.224.24
  caps01936a.ibomgolfresort.com

The Common Name in the certificate is :

  SSL_Self_Signed_Fallback
",ssl related vulnerability
10.204.224.24,Purchase or generate a proper SSL certificate for this service.,Medium,49177,ssl self-signed certificate,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : CN=SSL_Self_Signed_Fallback
",ssl related vulnerability
10.204.224.24,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.",Medium,49177,ssl medium strength cipher suites supported (sweet32),"
  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                  0x00, 0x0A       RSA           RSA      3DES-CBC(168)          SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability
10.204.224.24,Contact the Certificate Authority to have the SSL certificate reissued.,Medium,3389,ssl certificate signed using weak hashing algorithm,"
The following certificates were part of the certificate chain sent by
the remote host, but contain hashes that are considered to be weak.

|-Subject             : CN=CAPS01936A.ibomgolfresort.com
|-Signature Algorithm : SHA-1 With RSA Encryption
|-Valid From          : Mar 30 11:18:59 2021 GMT
|-Valid To            : Sep 29 11:18:59 2021 GMT
",ssl related vulnerability
10.204.224.24,Purchase or generate a proper SSL certificate for this service.,Medium,3389,ssl self-signed certificate,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : CN=CAPS01936A.ibomgolfresort.com
",ssl related vulnerability
10.204.224.24,"Consult the application's documentation to disable SSL 2.0 and 3.0.
Use TLS 1.2 (with approved cipher suites) or higher instead.",High,49177,ssl version 2 and 3 protocol detection,"
- SSLv3 is enabled and the server supports at least one cipher.
	Explanation: TLS 1.0 and SSL 3.0 cipher suites may be used with SSLv3


  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                                   RSA           RSA      3DES-CBC(168)          SHA1

  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    ECDHE-RSA-AES128-SHA                           ECDH          RSA      AES-CBC(128)           SHA1
    ECDHE-RSA-AES256-SHA                           ECDH          RSA      AES-CBC(256)           SHA1
    AES128-SHA                                     RSA           RSA      AES-CBC(128)           SHA1
    AES256-SHA                                     RSA           RSA      AES-CBC(256)           SHA1
    RC4-MD5                                        RSA           RSA      RC4(128)               MD5
    RC4-SHA                                        RSA           RSA      RC4(128)               SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability
10.204.224.24,Contact the Certificate Authority to have the SSL certificate reissued.,Medium,49177,ssl certificate signed using weak hashing algorithm,"
The following certificates were part of the certificate chain sent by
the remote host, but contain hashes that are considered to be weak.

|-Subject             : CN=SSL_Self_Signed_Fallback
|-Signature Algorithm : SHA-1 With RSA Encryption
|-Valid From          : Aug 12 15:36:18 2021 GMT
|-Valid To            : Aug 12 15:36:18 2051 GMT
",ssl related vulnerability
10.204.224.25,Purchase or generate a proper SSL certificate for this service.,Medium,3389,ssl certificate cannot be trusted,"
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : CN=KEY01936A.ibomgolfresort.com
|-Issuer  : CN=KEY01936A.ibomgolfresort.com
",ssl related vulnerability
10.204.224.25,"Enable support for TLS 1.2 and 1.3, and disable support for TLS 1.0.",Medium,3389,tls version 1.0 protocol detection,TLSv1 is enabled and the server supports at least one cipher.,ssl related vulnerability
10.204.224.25,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.",Medium,3389,ssl medium strength cipher suites supported (sweet32),"
  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                  0x00, 0x0A       RSA           RSA      3DES-CBC(168)          SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability
10.204.224.25,"Reconfigure the affected application, if possible, to avoid use of RC4
ciphers. Consider using TLS 1.2 with AES-GCM suites subject to browser
and web server support.",Medium,3389,ssl rc4 cipher suites supported (bar mitzvah),"
List of RC4 cipher suites supported by the remote server :

  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    RC4-MD5                       0x00, 0x04       RSA           RSA      RC4(128)               MD5
    RC4-SHA                       0x00, 0x05       RSA           RSA      RC4(128)               SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability
10.204.224.25,Contact the Certificate Authority to have the SSL certificate reissued.,Medium,3389,ssl certificate signed using weak hashing algorithm,"
The following certificates were part of the certificate chain sent by
the remote host, but contain hashes that are considered to be weak.

|-Subject             : CN=KEY01936A.ibomgolfresort.com
|-Signature Algorithm : SHA-1 With RSA Encryption
|-Valid From          : May 27 11:38:13 2021 GMT
|-Valid To            : Nov 26 11:38:13 2021 GMT
",ssl related vulnerability
10.204.224.25,Purchase or generate a proper SSL certificate for this service.,Medium,3389,ssl self-signed certificate,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : CN=KEY01936A.ibomgolfresort.com
",ssl related vulnerability
10.204.224.26,Purchase or generate a proper SSL certificate for this service.,Medium,3389,ssl self-signed certificate,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : CN=IFC01936A.ibomgolfresort.com
",ssl related vulnerability
10.204.224.26,"Reconfigure the service to use a unique Diffie-Hellman moduli of 2048
bits or greater.",Low,3389,ssl/tls diffie-hellman modulus <= 1024 bits (logjam),"
Vulnerable connection combinations :

  SSL/TLS version  : TLSv1.0
  Cipher suite     : TLS1_CK_DHE_RSA_WITH_AES_256_CBC_SHA
  Diffie-Hellman MODP size (bits) : 1024
    Warning - This is a known static Oakley Group2 modulus. This may make
    the remote host more vulnerable to the Logjam attack.
  Logjam attack difficulty : Hard (would require nation-state resources)

  SSL/TLS version  : TLSv1.0
  Cipher suite     : TLS1_CK_DHE_RSA_WITH_AES_128_CBC_SHA
  Diffie-Hellman MODP size (bits) : 1024
    Warning - This is a known static Oakley Group2 modulus. This may make
    the remote host more vulnerable to the Logjam attack.
  Logjam attack difficulty : Hard (would require nation-state resources)

  SSL/TLS version  : TLSv1.1
  Cipher suite     : TLS1_CK_DHE_RSA_WITH_AES_256_CBC_SHA
  Diffie-Hellman MODP size (bits) : 1024
    Warning - This is a known static Oakley Group2 modulus. This may make
    the remote host more vulnerable to the Logjam attack.
  Logjam attack difficulty : Hard (would require nation-state resources)

  SSL/TLS version  : TLSv1.1
  Cipher suite     : TLS1_CK_DHE_RSA_WITH_AES_128_CBC_SHA
  Diffie-Hellman MODP size (bits) : 1024
    Warning - This is a known static Oakley Group2 modulus. This may make
    the remote host more vulnerable to the Logjam attack.
  Logjam attack difficulty : Hard (would require nation-state resources)
",ssl related vulnerability
10.204.224.26,"Enable support for TLS 1.2 and 1.3, and disable support for TLS 1.0.",Medium,3389,tls version 1.0 protocol detection,TLSv1 is enabled and the server supports at least one cipher.,ssl related vulnerability
