Risk,Host,Name,Description,Solution,Plugin Output,Category,Reported
High,10.204.224.20,Apache Tomcat AJP Connector Request Injection (Ghostcat),"A file read/inclusion vulnerability was found in AJP connector. A
 remote, unauthenticated attacker could exploit this vulnerability to 
read web application files from a vulnerable server. In instances where
the vulnerable server allows file uploads, an attacker could upload 
malicious JavaServer Pages (JSP) code within a variety of file types 
and gain remote code execution (RCE).","Update the AJP configuration to require authorization and/or upgrade the Tomcat server to 7.0.100, 8.5.51, 9.0.31 or later.","
Nessus was able to exploit the issue using the following request :

0x0000:  02 02 00 08 48 54 54 50 2F 31 2E 31 00 00 0F 2F    ....HTTP/1.1.../
0x0010:  61 73 64 66 2F 78 78 78 78 78 2E 6A 73 70 00 00    asdf/xxxxx.jsp..
0x0020:  09 6C 6F 63 61 6C 68 6F 73 74 00 FF FF 00 09 6C    .localhost.....l
0x0030:  6F 63 61 6C 68 6F 73 74 00 00 50 00 00 09 A0 06    ocalhost..P.....
0x0040:  00 0A 6B 65 65 70 2D 61 6C 69 76 65 00 00 0F 41    ..keep-alive...A
0x0050:  63 63 65 70 74 2D 4C 61 6E 67 75 61 67 65 00 00    ccept-Language..
0x0060:  0E 65 6E 2D 55 53 2C 65 6E 3B 71 3D 30 2E 35 00    .en-US,en;q=0.5.
0x0070:  A0 08 00 01 30 00 00 0F 41 63 63 65 70 74 2D 45    ....0...Accept-E
0x0080:  6E 63 6F 64 69 6E 67 00 00 13 67 7A 69 70 2C 20    ncoding...gzip, 
0x0090:  64 65 66 6C 61 74 65 2C 20 73 64 63 68 00 00 0D    deflate, sdch...
0x00A0:  43 61 63 68 65 2D 43 6F 6E 74 72 6F 6C 00 00 09    Cache-Control...
0x00B0:  6D 61 78 2D 61 67 65 3D 30 00 A0 0E 00 07 4D 6F    max-age=0.....Mo
0x00C0:  7A 69 6C 6C 61 00 00 19 55 70 67 72 61 64 65 2D    zilla...Upgrade-
0x00D0:  49 6E 73 65 63 75 72 65 2D 52 65 71 75 65 73 74    Insecure-Request
0x00E0:  73 00 00 01 31 00 A0 01 00 09 74 65 78 74 2F 68    s...1.....text/h
0x00F0:  74 6D 6C 00 A0 0B 00 09 6C 6F 63 61 6C 68 6F 73    tml.....localhos
0x0100:  74 00 0A 00 21 6A 61 76 61 78 2E 73 65 72 76 6C    t...!javax.servl
0x0110:  65 74 2E 69 6E 63 6C 75 64 65 2E 72 65 71 75 65    et.include.reque
0x0120:  73 74 5F 75 72 69 00 00 01 31 00 0A 00 1F 6A 61    st_uri...1....ja
0x0130:  76 61 78 2E 73 65 72 76 6C 65 74 2E 69 6E 63 6C    vax.servlet.incl
0x0140:  75 64 65 2E 70 61 74 68 5F 69 6E 66 6F 00 00 0C    ude.path_info...
0x0150:  2F 6D 69 73 73 69 6E 67 2E 74 78 74 00 0A 00 22    /missing.txt...""
0x0160:  6A 61 76 61 78 2E 73 65 72 76 6C 65 74 2E 69 6E    javax.servlet.in
0x0170:  63 6C 75 64 65 2E 73 65 72 76 6C 65 74 5F 70 61    clude.servlet_pa
0x0180:  74 68 00 00 00 00 FF                               th.....         



This produced the following truncated output (limited to 10 lines) :
------------------------------ snip ------------------------------
..Ãš<html><head><title>Apache Tomcat/5.5.9 - Error report</title><style><!--H1 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:22px;} H2 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:16px;} H3 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:14px;} BODY {font-family:Tahoma,Arial,sans-serif;color:black;background-color:white;} B {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;} P {font-family:Tahoma,Arial,sans-serif;background:white;color:black;font-size:12px;}A {color : black;}A.name {color : black;}HR {color : #525D76;}--></style> </head><body><h1>HTTP Status 404 - /missing.txt</h1><HR size=""1"" noshade=""noshade""><p><b>type</b> Status report</p><p><b>message</b> <u>/missing.txt</u></p><p><b>description</b> <u>The requested resource (/missing.txt) is not available.</u></p><HR size=""1"" noshade=""noshade""><h3>Apache Tomcat/5.5.9</h3></body></html>

------------------------------ snip ------------------------------
",VULNERABLE VERSION OF APPLICATION IN USE,yes
Medium,10.204.224.21,Microsoft Windows Remote Desktop Protocol Server Man-in-the-Middle Weakness,"The remote version of the Remote Desktop Protocol Server (Terminal
Service) is vulnerable to a man-in-the-middle (MiTM) attack. The RDP 
client makes no effort to validate the identity of the server when 
setting up encryption. An attacker with the ability to intercept 
traffic from the RDP server can establish encryption with the client 
and server without being detected. A MiTM attack of this nature would 
allow the attacker to obtain any sensitive information transmitted, 
including authentication credentials.

This flaw exists because the RDP server stores a hard-coded RSA
private key in the mstlsapi.dll library. Any local user with
access to this file (on any Windows system) can retrieve the
key and use it for this attack.","- Force the use of SSL as a transport layer for this service if
supported, or/and

- Select the 'Allow connections only from computers running Remote 
Desktop with Network Level Authentication' setting if it is available.",,inadequate security configuration,yes
Low,10.204.224.21,Terminal Services Encryption Level is not FIPS-140 Compliant,"The encryption setting used by the remote Terminal Services service
is not FIPS-140 compliant.","Change RDP encryption level to :

 4. FIPS Compliant","
The terminal services encryption level is set to :

2. Medium (Client Compatible)",inadequate security configuration,yes
Medium,10.204.224.21,SMB Signing not required,"Signing is not required on the remote SMB server. An unauthenticated,
remote attacker can exploit this to conduct man-in-the-middle attacks
against the SMB server.","Enforce message signing in the host's configuration. On Windows, this
is found in the policy setting 'Microsoft network server: Digitally
sign communications (always)'. On Samba, the setting is called 'server
signing'. See the 'see also' links for further details.",,inadequate security configuration,yes
High,10.204.224.21,Oracle TNS Listener Remote Poisoning,"The remote Oracle TNS listener allows service registration from a
remote host. An attacker can exploit this issue to divert data from a
legitimate database server or client to an attacker-specified system. 

Successful exploits will allow the attacker to manipulate database
instances, potentially facilitating man-in-the-middle, session-
hijacking, or denial of service attacks on a legitimate database
server.",Apply the workaround in Oracle's advisory.,"
The remote Oracle TNS listener returned the following response to a
registration request :

0x0000:  00 00 01 C0 20 08 FF 03 01 00 12 34 34 34 34 34    .... ......44444
0x0010:  78 10 10 32 10 32 10 32 10 32 10 32 54 76 00 78    x..2.2.2.2.2Tv.x
0x0020:  10 32 54 76 98 01 00 80 07 00 00 00 00 00 00 00    .2Tv............
0x0030:  00 00 00 00 05 00 00 00 10 00 00 00 02 00 00 00    ................
0x0040:  10 65 35 02 05 00 00 00 00 00 00 00 00 00 00 00    .e5.............
0x0050:  F8 EA 31 02 BC 91 FB 9F E8 86 4B CB B6 3D C5 18    ..1.......K..=..
0x0060:  C5 E3 42 40 05 00 00 00 0A 00 00 00 01 00 00 00    ..B@............
0x0070:  98 64 35 02 06 00 00 00 00 00 00 00 00 00 00 00    .d5.............
0x0080:  98 C2 27 02 6E 65 73 73 75 73 58 44 42 00 05 00    ..'.nessusXDB...
0x0090:  00 00 07 00 00 00 01 00 00 00 48 A7 35 02 06 00    ..........H.5...
0x00A0:  00 00 00 00 00 00 00 00 00 00 A8 C1 27 02 6E 65    ............'.ne
0x00B0:  73 73 75 73 00 05 00 00 00 38 00 00 00 01 00 00    ssus.....8......
0x00C0:  00 B0 F8 9E 02 07 00 00 00 00 66 35 02 00 00 00    ..........f5....
0x00D0:  00 D0 C1 27 02 28 41 44 44 52 45 53 53 3D 28 50    ...'.(ADDRESS=(P
0x00E0:  52 4F 54 4F 43 4F 4C 3D 54 43 50 29 28 48 4F 53    ROTOCOL=TCP)(HOS
0x00F0:  54 3D 31 30 2E 32 30 34 2E 32 32 34 2E 32 31 29    T=10.204.224.21)
0x0100:  28 50 4F 52 54 3D 31 35 32 31 29 29 00 46 00 00    (PORT=1521)).F..
0x0110:  00 50 8E 35 02 00 00 00 00 28 44 45 53 43 52 49    .P.5.....(DESCRI
0x0120:  50 54 49 4F 4E 3D 28 41 44 44 52 45 53 53 3D 28    PTION=(ADDRESS=(
0x0130:  50 52 4F 54 4F 43 4F 4C 3D 74 63 70 29 28 48 4F    PROTOCOL=tcp)(HO
0x0140:  53 54 3D 31 30 2E 32 30 34 2E 32 32 34 2E 32 31    ST=10.204.224.21
0x0150:  29 28 50 4F 52 54 3D 31 35 32 31 29 29 29 00 05    )(PORT=1521)))..
0x0160:  00 00 00 10 00 00 00 02 00 00 00 A8 63 35 02 08    ............c5..
0x0170:  00 00 00 00 00 00 00 00 00 00 00 48 C2 27 02 0B    ...........H.'..
0x0180:  B8 D5 9E 1B 1B 45 CD BC 11 A8 92 1B 0F F2 E1 05    .....E..........
0x0190:  00 00 00 10 00 00 00 02 00 00 00 B8 62 35 02 08    ............b5..
0x01A0:  00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 8A    ................
0x01B0:  22 29 A8 B9 E9 4D BB B4 80 52 0F 63 D9 BA D6 00    "")...M...R.c....
0x01C0:                                                                     
",inadequate security configuration,yes
Medium,10.204.224.22,Microsoft Windows Remote Desktop Protocol Server Man-in-the-Middle Weakness,"The remote version of the Remote Desktop Protocol Server (Terminal
Service) is vulnerable to a man-in-the-middle (MiTM) attack. The RDP 
client makes no effort to validate the identity of the server when 
setting up encryption. An attacker with the ability to intercept 
traffic from the RDP server can establish encryption with the client 
and server without being detected. A MiTM attack of this nature would 
allow the attacker to obtain any sensitive information transmitted, 
including authentication credentials.

This flaw exists because the RDP server stores a hard-coded RSA
private key in the mstlsapi.dll library. Any local user with
access to this file (on any Windows system) can retrieve the
key and use it for this attack.","- Force the use of SSL as a transport layer for this service if
supported, or/and

- Select the 'Allow connections only from computers running Remote 
Desktop with Network Level Authentication' setting if it is available.",,inadequate security configuration,yes
High,10.204.224.22,SSL Version 2 and 3 Protocol Detection,"The remote service accepts connections encrypted using SSL 2.0 and/or
SSL 3.0. These versions of SSL are affected by several cryptographic
flaws, including:

  - An insecure padding scheme with CBC ciphers.

  - Insecure session renegotiation and resumption schemes.

An attacker can exploit these flaws to conduct man-in-the-middle
attacks or to decrypt communications between the affected service and
clients.

Although SSL/TLS has a secure means for choosing the highest supported
version of the protocol (so that these versions will be used only if
the client or server support nothing better), many web browsers
implement this in an unsafe way that allows an attacker to downgrade
a connection (such as in POODLE). Therefore, it is recommended that
these protocols be disabled entirely.

NIST has determined that SSL 3.0 is no longer acceptable for secure
communications. As of the date of enforcement found in PCI DSS v3.1,
any version of SSL will not meet the PCI SSC's definition of 'strong
cryptography'.","Consult the application's documentation to disable SSL 2.0 and 3.0.
Use TLS 1.2 (with approved cipher suites) or higher instead.","
- SSLv3 is enabled and the server supports at least one cipher.
	Explanation: TLS 1.0 and SSL 3.0 cipher suites may be used with SSLv3


  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                                   RSA           RSA      3DES-CBC(168)          SHA1

  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    ECDHE-RSA-AES128-SHA                           ECDH          RSA      AES-CBC(128)           SHA1
    ECDHE-RSA-AES256-SHA                           ECDH          RSA      AES-CBC(256)           SHA1
    AES128-SHA                                     RSA           RSA      AES-CBC(128)           SHA1
    AES256-SHA                                     RSA           RSA      AES-CBC(256)           SHA1
    RC4-MD5                                        RSA           RSA      RC4(128)               MD5
    RC4-SHA                                        RSA           RSA      RC4(128)               SHA1
    ECDHE-RSA-AES128-SHA256                        ECDH          RSA      AES-CBC(128)           SHA256
    RSA-AES128-SHA256                              RSA           RSA      AES-CBC(128)           SHA256
    RSA-AES256-SHA256                              RSA           RSA      AES-CBC(256)           SHA256

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability,yes
Low,10.204.224.22,Terminal Services Encryption Level is not FIPS-140 Compliant,"The encryption setting used by the remote Terminal Services service
is not FIPS-140 compliant.","Change RDP encryption level to :

 4. FIPS Compliant","
The terminal services encryption level is set to :

2. Medium (Client Compatible)",inadequate security configuration,yes
Medium,10.204.224.22,SSL Certificate Signed Using Weak Hashing Algorithm,"The remote service uses an SSL certificate chain that has been signed
using a cryptographically weak hashing algorithm (e.g. MD2, MD4, MD5,
or SHA1). These signature algorithms are known to be vulnerable to
collision attacks. An attacker can exploit this to generate another
certificate with the same digital signature, allowing an attacker to
masquerade as the affected service.

Note that this plugin reports all SSL certificate chains signed with
SHA-1 that expire after January 1, 2017 as vulnerable. This is in
accordance with Google's gradual sunsetting of the SHA-1 cryptographic
hash algorithm.

Note that certificates in the chain that are contained in the Nessus
CA database (known_CA.inc) have been ignored.",Contact the Certificate Authority to have the SSL certificate reissued.,"
The following certificates were part of the certificate chain sent by
the remote host, but contain hashes that are considered to be weak.

|-Subject             : CN=SSL_Self_Signed_Fallback
|-Signature Algorithm : SHA-1 With RSA Encryption
|-Valid From          : Aug 04 15:19:32 2021 GMT
|-Valid To            : Aug 04 15:19:32 2051 GMT
",ssl related vulnerability,yes
Medium,10.204.224.22,SSL Certificate Signed Using Weak Hashing Algorithm,"The remote service uses an SSL certificate chain that has been signed
using a cryptographically weak hashing algorithm (e.g. MD2, MD4, MD5,
or SHA1). These signature algorithms are known to be vulnerable to
collision attacks. An attacker can exploit this to generate another
certificate with the same digital signature, allowing an attacker to
masquerade as the affected service.

Note that this plugin reports all SSL certificate chains signed with
SHA-1 that expire after January 1, 2017 as vulnerable. This is in
accordance with Google's gradual sunsetting of the SHA-1 cryptographic
hash algorithm.

Note that certificates in the chain that are contained in the Nessus
CA database (known_CA.inc) have been ignored.",Contact the Certificate Authority to have the SSL certificate reissued.,"
The following certificates were part of the certificate chain sent by
the remote host, but contain hashes that are considered to be weak.

|-Subject             : CN=SAP01936A.ibomgolfresort.com
|-Signature Algorithm : SHA-1 With RSA Encryption
|-Valid From          : Jul 03 20:12:51 2021 GMT
|-Valid To            : Jan 02 20:12:51 2022 GMT
",ssl related vulnerability,yes
Medium,10.204.224.22,SSL Medium Strength Cipher Suites Supported (SWEET32),"The remote host supports the use of SSL ciphers that offer medium
strength encryption. Nessus regards medium strength as any encryption
that uses key lengths at least 64 bits and less than 112 bits, or 
else that uses the 3DES encryption suite.

Note that it is considerably easier to circumvent medium strength
encryption if the attacker is on the same physical network.","Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","
  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                  0x00, 0x0A       RSA           RSA      3DES-CBC(168)          SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability,yes
Medium,10.204.224.22,SSL Medium Strength Cipher Suites Supported (SWEET32),"The remote host supports the use of SSL ciphers that offer medium
strength encryption. Nessus regards medium strength as any encryption
that uses key lengths at least 64 bits and less than 112 bits, or 
else that uses the 3DES encryption suite.

Note that it is considerably easier to circumvent medium strength
encryption if the attacker is on the same physical network.","Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","
  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                  0x00, 0x0A       RSA           RSA      3DES-CBC(168)          SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability,yes
Medium,10.204.224.22,SSL Certificate with Wrong Hostname,"The 'commonName' (CN) attribute of the SSL certificate presented for
this service is for a different machine.",Purchase or generate a proper SSL certificate for this service.,"
The identities known by Nessus are :

  10.204.224.22
  sap01936a.ibomgolfresort.com
  SAP01936A

The Common Name in the certificate is :

  SSL_Self_Signed_Fallback
",ssl related vulnerability,yes
Medium,10.204.224.22,SSL Certificate with Wrong Hostname,"The 'commonName' (CN) attribute of the SSL certificate presented for
this service is for a different machine.",Purchase or generate a proper SSL certificate for this service.,"
The identities known by Nessus are :

  10.204.224.22
  sap01936a.ibomgolfresort.com
  SAP01936A

The Common Name in the certificate is :

  Administrator
",ssl related vulnerability,yes
Medium,10.204.224.22,SSL Certificate Cannot Be Trusted,"The server's X.509 certificate cannot be trusted. This situation can
occur in three different ways, in which the chain of trust can be
broken, as stated below :

  - First, the top of the certificate chain sent by the
    server might not be descended from a known public
    certificate authority. This can occur either when the
    top of the chain is an unrecognized, self-signed
    certificate, or when intermediate certificates are
    missing that would connect the top of the certificate
    chain to a known public certificate authority.

  - Second, the certificate chain may contain a certificate
    that is not valid at the time of the scan. This can
    occur either when the scan occurs before one of the
    certificate's 'notBefore' dates, or after one of the
    certificate's 'notAfter' dates.

  - Third, the certificate chain may contain a signature
    that either didn't match the certificate's information
    or could not be verified. Bad signatures can be fixed by
    getting the certificate with the bad signature to be
    re-signed by its issuer. Signatures that could not be
    verified are the result of the certificate's issuer
    using a signing algorithm that Nessus either does not
    support or does not recognize.

If the remote host is a public host in production, any break in the
chain makes it more difficult for users to verify the authenticity and 
identity of the web server. This could make it easier to carry out 
man-in-the-middle attacks against the remote host.",Purchase or generate a proper SSL certificate for this service.,"
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : CN=SSL_Self_Signed_Fallback
|-Issuer  : CN=SSL_Self_Signed_Fallback
",ssl related vulnerability,yes
Medium,10.204.224.22,SSL Certificate Cannot Be Trusted,"The server's X.509 certificate cannot be trusted. This situation can
occur in three different ways, in which the chain of trust can be
broken, as stated below :

  - First, the top of the certificate chain sent by the
    server might not be descended from a known public
    certificate authority. This can occur either when the
    top of the chain is an unrecognized, self-signed
    certificate, or when intermediate certificates are
    missing that would connect the top of the certificate
    chain to a known public certificate authority.

  - Second, the certificate chain may contain a certificate
    that is not valid at the time of the scan. This can
    occur either when the scan occurs before one of the
    certificate's 'notBefore' dates, or after one of the
    certificate's 'notAfter' dates.

  - Third, the certificate chain may contain a signature
    that either didn't match the certificate's information
    or could not be verified. Bad signatures can be fixed by
    getting the certificate with the bad signature to be
    re-signed by its issuer. Signatures that could not be
    verified are the result of the certificate's issuer
    using a signing algorithm that Nessus either does not
    support or does not recognize.

If the remote host is a public host in production, any break in the
chain makes it more difficult for users to verify the authenticity and 
identity of the web server. This could make it easier to carry out 
man-in-the-middle attacks against the remote host.",Purchase or generate a proper SSL certificate for this service.,"
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : C=US/ST=Texas/L=Houston/O=Hewlett Packard Enterprise/OU=Hewlett Packard Enterprise Network Management Software (SMH)/CN=SAP01936A.ibomgolfresort.com
|-Issuer  : C=US/ST=Texas/L=Houston/O=Hewlett Packard Enterprise/OU=Hewlett Packard Enterprise Network Management Software (SMH)/CN=SAP01936A.ibomgolfresort.com
",ssl related vulnerability,yes
Medium,10.204.224.22,SSL Certificate Cannot Be Trusted,"The server's X.509 certificate cannot be trusted. This situation can
occur in three different ways, in which the chain of trust can be
broken, as stated below :

  - First, the top of the certificate chain sent by the
    server might not be descended from a known public
    certificate authority. This can occur either when the
    top of the chain is an unrecognized, self-signed
    certificate, or when intermediate certificates are
    missing that would connect the top of the certificate
    chain to a known public certificate authority.

  - Second, the certificate chain may contain a certificate
    that is not valid at the time of the scan. This can
    occur either when the scan occurs before one of the
    certificate's 'notBefore' dates, or after one of the
    certificate's 'notAfter' dates.

  - Third, the certificate chain may contain a signature
    that either didn't match the certificate's information
    or could not be verified. Bad signatures can be fixed by
    getting the certificate with the bad signature to be
    re-signed by its issuer. Signatures that could not be
    verified are the result of the certificate's issuer
    using a signing algorithm that Nessus either does not
    support or does not recognize.

If the remote host is a public host in production, any break in the
chain makes it more difficult for users to verify the authenticity and 
identity of the web server. This could make it easier to carry out 
man-in-the-middle attacks against the remote host.",Purchase or generate a proper SSL certificate for this service.,"
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : CN=SAP01936A.ibomgolfresort.com
|-Issuer  : CN=SAP01936A.ibomgolfresort.com
",ssl related vulnerability,yes
Medium,10.204.224.22,SSL Certificate Cannot Be Trusted,"The server's X.509 certificate cannot be trusted. This situation can
occur in three different ways, in which the chain of trust can be
broken, as stated below :

  - First, the top of the certificate chain sent by the
    server might not be descended from a known public
    certificate authority. This can occur either when the
    top of the chain is an unrecognized, self-signed
    certificate, or when intermediate certificates are
    missing that would connect the top of the certificate
    chain to a known public certificate authority.

  - Second, the certificate chain may contain a certificate
    that is not valid at the time of the scan. This can
    occur either when the scan occurs before one of the
    certificate's 'notBefore' dates, or after one of the
    certificate's 'notAfter' dates.

  - Third, the certificate chain may contain a signature
    that either didn't match the certificate's information
    or could not be verified. Bad signatures can be fixed by
    getting the certificate with the bad signature to be
    re-signed by its issuer. Signatures that could not be
    verified are the result of the certificate's issuer
    using a signing algorithm that Nessus either does not
    support or does not recognize.

If the remote host is a public host in production, any break in the
chain makes it more difficult for users to verify the authenticity and 
identity of the web server. This could make it easier to carry out 
man-in-the-middle attacks against the remote host.",Purchase or generate a proper SSL certificate for this service.,"
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : C=CN/O=SAP/OU=B1/CN=Administrator
|-Issuer  : C=CN/O=SAP/OU=B1/CN=Administrator
",ssl related vulnerability,yes
Medium,10.204.224.22,SSL Self-Signed Certificate,"The X.509 certificate chain for this service is not signed by a
recognized certificate authority.  If the remote host is a public host
in production, this nullifies the use of SSL as anyone could establish
a man-in-the-middle attack against the remote host. 

Note that this plugin does not check for certificate chains that end
in a certificate that is not self-signed, but is signed by an
unrecognized certificate authority.",Purchase or generate a proper SSL certificate for this service.,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : CN=SSL_Self_Signed_Fallback
",ssl related vulnerability,yes
Medium,10.204.224.22,SSL Self-Signed Certificate,"The X.509 certificate chain for this service is not signed by a
recognized certificate authority.  If the remote host is a public host
in production, this nullifies the use of SSL as anyone could establish
a man-in-the-middle attack against the remote host. 

Note that this plugin does not check for certificate chains that end
in a certificate that is not self-signed, but is signed by an
unrecognized certificate authority.",Purchase or generate a proper SSL certificate for this service.,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : C=US/ST=Texas/L=Houston/O=Hewlett Packard Enterprise/OU=Hewlett Packard Enterprise Network Management Software (SMH)/CN=SAP01936A.ibomgolfresort.com
",ssl related vulnerability,yes
Medium,10.204.224.22,SSL Self-Signed Certificate,"The X.509 certificate chain for this service is not signed by a
recognized certificate authority.  If the remote host is a public host
in production, this nullifies the use of SSL as anyone could establish
a man-in-the-middle attack against the remote host. 

Note that this plugin does not check for certificate chains that end
in a certificate that is not self-signed, but is signed by an
unrecognized certificate authority.",Purchase or generate a proper SSL certificate for this service.,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : CN=SAP01936A.ibomgolfresort.com
",ssl related vulnerability,yes
Medium,10.204.224.22,SSL Self-Signed Certificate,"The X.509 certificate chain for this service is not signed by a
recognized certificate authority.  If the remote host is a public host
in production, this nullifies the use of SSL as anyone could establish
a man-in-the-middle attack against the remote host. 

Note that this plugin does not check for certificate chains that end
in a certificate that is not self-signed, but is signed by an
unrecognized certificate authority.",Purchase or generate a proper SSL certificate for this service.,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : C=CN/O=SAP/OU=B1/CN=Administrator
",ssl related vulnerability,yes
Medium,10.204.224.22,SMB Signing not required,"Signing is not required on the remote SMB server. An unauthenticated,
remote attacker can exploit this to conduct man-in-the-middle attacks
against the SMB server.","Enforce message signing in the host's configuration. On Windows, this
is found in the policy setting 'Microsoft network server: Digitally
sign communications (always)'. On Samba, the setting is called 'server
signing'. See the 'see also' links for further details.",,inadequate security configuration,yes
Medium,10.204.224.22,Terminal Services Encryption Level is Medium or Low,"The remote Terminal Services service is not configured to use strong
cryptography. 

Using weak cryptography with this service may allow an attacker to
eavesdrop on the communications more easily and obtain screenshots
and/or keystrokes.","Change RDP encryption level to one of :

 3. High

 4. FIPS Compliant","
The terminal services encryption level is set to :

2. Medium",inadequate security configuration,yes
Medium,10.204.224.22,Terminal Services Doesn't Use Network Level Authentication (NLA) Only,"The remote Terminal Services is not configured to use Network Level
Authentication (NLA) only. NLA uses the Credential Security Support
Provider (CredSSP) protocol to perform strong server authentication
either through TLS/SSL or Kerberos mechanisms, which protect against
man-in-the-middle attacks. In addition to improving authentication, 
NLA also helps protect the remote computer from malicious users and 
software by completing user authentication before a full RDP 
connection is established.","Enable Network Level Authentication (NLA) on the remote RDP server. This is
generally done on the 'Remote' tab of the 'System' settings on Windows.",Nessus was able to negotiate non-NLA (Network Level Authentication) security.,inadequate security configuration,yes
Medium,10.204.224.22,SSL RC4 Cipher Suites Supported (Bar Mitzvah),"The remote host supports the use of RC4 in one or more cipher suites.
The RC4 cipher is flawed in its generation of a pseudo-random stream
of bytes so that a wide variety of small biases are introduced into
the stream, decreasing its randomness.

If plaintext is repeatedly encrypted (e.g., HTTP cookies), and an
attacker is able to obtain many (i.e., tens of millions) ciphertexts,
the attacker may be able to derive the plaintext.","Reconfigure the affected application, if possible, to avoid use of RC4
ciphers. Consider using TLS 1.2 with AES-GCM suites subject to browser
and web server support.","
List of RC4 cipher suites supported by the remote server :

  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    RC4-MD5                       0x00, 0x04       RSA           RSA      RC4(128)               MD5
    RC4-SHA                       0x00, 0x05       RSA           RSA      RC4(128)               SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability,yes
Medium,10.204.224.22,SSL RC4 Cipher Suites Supported (Bar Mitzvah),"The remote host supports the use of RC4 in one or more cipher suites.
The RC4 cipher is flawed in its generation of a pseudo-random stream
of bytes so that a wide variety of small biases are introduced into
the stream, decreasing its randomness.

If plaintext is repeatedly encrypted (e.g., HTTP cookies), and an
attacker is able to obtain many (i.e., tens of millions) ciphertexts,
the attacker may be able to derive the plaintext.","Reconfigure the affected application, if possible, to avoid use of RC4
ciphers. Consider using TLS 1.2 with AES-GCM suites subject to browser
and web server support.","
List of RC4 cipher suites supported by the remote server :

  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    RC4-MD5                       0x00, 0x04       RSA           RSA      RC4(128)               MD5
    RC4-SHA                       0x00, 0x05       RSA           RSA      RC4(128)               SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability,yes
